Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
HD 95089 c,HD 95089,2,1785.0,,136.957,1096.5135
HAT-P-14 b,HAT-P-14,1,4.62767,,222.663,1093.3352
WASP-38 b,WASP-38,1,6.87188,,136.24,1093.3352
TYC 3318-01333-1 b,TYC 3318-01333-1,1,562.0,,490.61,1086.9786
HD 18742 b,HD 18742,1,766.0,,162.685,1080.622
HATS-61 b,HATS-61,1,7.817953,1226.0,679.761,1080.622
HAT-P-17 c,HAT-P-17,2,5584.0,,92.3831,1080.6
KELT-20 b,KELT-20,1,3.4741085,2262.0,136.426,1074.90106
GJ 3021 b,GJ 3021,1,133.71,350.0,17.5559,1071.04
HAT-P-34 b,HAT-P-34,1,5.452654,,249.325,1058.3739
HD 13167 b,HD 13167,1,2613.0,,148.934,1052.0173
KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,1,,,6651.0,1043.0
HATS-16 b,HATS-16,1,2.686502,1592.0,757.044,1039.3041
eps Ind A b,eps Ind A,1,16510.0,,3.63857,1032.9475
HR 5183 b,HR 5183,1,27000.0,171.0,31.4607,1026.5909
Kepler-43 b,Kepler-43,1,3.0240949,1620.0,1005.84,1026.5909
HIP 65 A b,HIP 65 A,1,0.9809734,1411.0,61.7856,1021.18779
HD 66428 b,HD 66428,2,2263.12,,53.2817,1018.32732
V0391 Peg b,V0391 Peg,1,1170.0,,1195.98,1017.056
91 Aqr b,91 Aqr,1,181.4,,44.0304,1017.0
HD 37605 c,HD 37605,2,2720.0,,46.7864,1013.8777
HD 18015 b,HD 18015,1,2278.0,,123.801,1010.6994
HD 220842 b,HD 220842,1,218.47,,64.6498,1010.6994
HD 196050 b,HD 196050,1,1378.0,,50.6742,1010.6994
WASP-41 c,WASP-41,2,421.0,241.0,163.371,1010.6994
WASP-10 b,WASP-10,1,3.0927616,1370.0,140.998,1001.12
HATS-57 b,HATS-57,1,2.350621,1413.0,279.485,1000.21101
TOI-1431 b,TOI-1431,1,2.650237,2370.0,148.925,991.62463
55 Cnc d,55 Cnc,5,5574.2,,12.5855,991.6
MASCARA-4 b,MASCARA-4,1,2.82406,2100.0,170.696,985.273
HD 125612 b,HD 125612,3,557.04,,57.6207,985.273
HD 190984 b,HD 190984,1,4885.0,,148.187,985.2
HD 73267 b,HD 73267,1,1245.36,,50.4093,984.31951
